episode_id,publish_date,title,episode_url
2835,2023-04-04,Introducing The AI Breakdown,https://podcasters.spotify.com/pod/show/nlw/episodes/Introducing-The-AI-Breakdown-e2l1buc
2833,2023-04-12,What is AutoGPT and Why is Everyone Talking About It?,https://podcasters.spotify.com/pod/show/nlw/episodes/What-is-AutoGPT-and-Why-is-Everyone-Talking-About-It-e2l1bv5
2834,2023-04-12,Should the US Gov't Have to Review and License AI Tools?,https://podcasters.spotify.com/pod/show/nlw/episodes/Should-the-US-Govt-Have-to-Review-and-License-AI-Tools-e2l1brd
2832,2023-04-13,5 Ways AutoGPT is Already Being Used,https://podcasters.spotify.com/pod/show/nlw/episodes/5-Ways-AutoGPT-is-Already-Being-Used-e2l1brt
2831,2023-04-15,Is AutoGPT Dangerous?,https://podcasters.spotify.com/pod/show/nlw/episodes/Is-AutoGPT-Dangerous-e2l1c4j
2830,2023-04-17,The AI Arms Race: Where the World's Biggest Companies Stand,https://podcasters.spotify.com/pod/show/nlw/episodes/The-AI-Arms-Race-Where-the-Worlds-Biggest-Companies-Stand-e2l1brg
2829,2023-04-18,"Can Open Source AI Compete with Big Tech? A Look at TruthGPT, RedPajama and MiniGPT",https://podcasters.spotify.com/pod/show/nlw/episodes/Can-Open-Source-AI-Compete-with-Big-Tech--A-Look-at-TruthGPT--RedPajama-and-MiniGPT-e2l1bvo
2828,2023-04-19,AI that Can See the World? Meet MiniGPT-4 an Open Source Image-to-Text Model,https://podcasters.spotify.com/pod/show/nlw/episodes/AI-that-Can-See-the-World--Meet-MiniGPT-4-an-Open-Source-Image-to-Text-Model-e2l1bra
2827,2023-04-20,The AI Data Wars: Elon Threatens to Sue Microsoft While Viral AI Drake Track Stuns Music Industry,https://podcasters.spotify.com/pod/show/nlw/episodes/The-AI-Data-Wars-Elon-Threatens-to-Sue-Microsoft-While-Viral-AI-Drake-Track-Stuns-Music-Industry-e2l1c1e
2826,2023-04-21,I Asked ChatGPT and Its New Open Source Competitor StableLM if AI Should Be Open Source. Here's What They Said.,https://podcasters.spotify.com/pod/show/nlw/episodes/I-Asked-ChatGPT-and-Its-New-Open-Source-Competitor-StableLM-if-AI-Should-Be-Open-Source--Heres-What-They-Said-e2l1bsk
2825,2023-04-22,The Problems with AutoGPT and BabyAGI: How Useful Are They Really?,https://podcasters.spotify.com/pod/show/nlw/episodes/The-Problems-with-AutoGPT-and-BabyAGI-How-Useful-Are-They-Really-e2l1bso
2824,2023-04-24,Why GPT-4-32k Will Totally Transform What We Can Do With AI,https://podcasters.spotify.com/pod/show/nlw/episodes/Why-GPT-4-32k-Will-Totally-Transform-What-We-Can-Do-With-AI-e2l1bsd
2823,2023-04-25,Profit or Piracy? How AI Disrupts Industries,https://podcasters.spotify.com/pod/show/nlw/episodes/Profit-or-Piracy--How-AI-Disrupts-Industries-e2l1bsf
2822,2023-04-26,ChatGPT Adds Private Mode as HuggingFace Launches Open Source Competitor,https://podcasters.spotify.com/pod/show/nlw/episodes/ChatGPT-Adds-Private-Mode-as-HuggingFace-Launches-Open-Source-Competitor-e2l1btf
2821,2023-04-27,The Latest on AutoGPT and BabyAGI: Semi-Autonomous Specialized Agents (SASAs),https://podcasters.spotify.com/pod/show/nlw/episodes/The-Latest-on-AutoGPT-and-BabyAGI-Semi-Autonomous-Specialized-Agents-SASAs-e2l1brk
2820,2023-04-28,"The Most Important AI News This Week: ChatGPT Browse, Apple Quartz, GPT Robot Dogs",https://podcasters.spotify.com/pod/show/nlw/episodes/The-Most-Important-AI-News-This-Week-ChatGPT-Browse--Apple-Quartz--GPT-Robot-Dogs-e2l1bsb
2819,2023-04-29,"Real Life ""Her""? A Chat with AI Avatar Call Annie About AI Alignment and More",https://podcasters.spotify.com/pod/show/nlw/episodes/Real-Life-Her--A-Chat-with-AI-Avatar-Call-Annie-About-AI-Alignment-and-More-e2l1bt0
